,City,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Hithadhoo,MV,-0.6,73.08,83.05,73,36,8.52
1,Cockburn Town,TC,21.46,-71.14,80.1,78,13,22.62
2,Ewa Beach,US,21.32,-158.01,81.46,51,40,16.11
3,Namibe,AO,-15.19,12.15,74.19,79,0,12.82
4,Cherskiy,RU,68.75,161.3,-20.15,98,100,3.67
5,Avarua,CK,-21.21,-159.78,80.6,74,44,16.11
6,Kununurra,AU,-15.77,128.74,84.2,89,0,3.36
7,Ushuaia,AR,-54.81,-68.31,54.3,66,75,6.93
8,Jamestown,AU,-33.21,138.6,84.34,14,50,13.62
9,Bathsheba,BB,13.22,-59.52,80.6,74,40,25.28
10,Erenhot,CN,43.65,111.97,14.74,93,88,9.4
11,Flinders,AU,-34.58,150.85,71.06,49,0,6.93
12,Tuatapere,NZ,-46.13,167.69,55.0,72,100,15.99
13,Tuktoyaktuk,CA,69.44,-133.03,-27.4,74,20,3.36
14,Atuona,PF,-9.8,-139.03,80.55,70,0,15.73
15,Vilyuysk,RU,63.75,121.63,-21.55,98,100,5.93
16,Hermanus,ZA,-34.42,19.24,57.99,92,100,10.0
17,Airai,TL,-8.93,125.41,66.65,71,36,3.36
18,Hasaki,JP,35.73,140.83,43.21,100,75,1.12
19,Antofagasta,CL,-23.65,-70.4,66.2,72,75,11.41
20,Albany,US,42.65,-73.75,26.67,86,90,3.36
21,Sao Felix do Xingu,BR,-6.64,-51.99,82.94,67,100,2.62
22,Lebu,ET,8.96,38.73,55.4,76,32,2.24
23,Santa Cruz,BR,-6.22,-36.02,80.1,59,86,12.82
24,Semey,KZ,50.41,80.25,6.1,87,61,9.31
25,Rikitea,PF,-23.12,-134.97,74.7,91,100,7.29
26,Lahaina,US,20.87,-156.68,78.6,69,40,17.22
27,Ribeira Grande,PT,38.52,-28.7,64.4,82,40,31.09
28,Port Alfred,ZA,-33.59,26.89,66.0,84,66,13.0
29,Barrow,AR,-38.31,-60.23,87.87,10,33,5.73
30,Mataura,NZ,-46.19,168.86,55.0,72,91,15.99
31,Broken Hill,AU,-31.97,141.45,89.6,9,92,11.41
32,Batticaloa,LK,7.71,81.69,73.67,94,100,1.19
33,Goderich,CA,43.74,-81.71,28.51,81,96,5.01
34,Promyshlennovskiy,RU,55.48,86.2,10.4,92,40,8.95
35,Ouahigouya,BF,13.58,-2.42,77.4,9,0,8.61
36,Pisco,PE,-13.71,-76.2,70.68,30,20,14.99
37,Mount Gambier,AU,-37.83,140.78,80.6,28,41,14.99
38,The Valley,AI,18.22,-63.06,79.88,69,20,18.34
39,Merauke,ID,-8.49,140.4,75.88,90,0,5.26
40,Hilo,US,19.71,-155.08,73.89,58,75,4.7
41,Cayenne,GF,4.94,-52.33,75.2,94,100,3.36
42,Vila Franca do Campo,PT,37.72,-25.43,64.4,88,40,31.09
43,Aleksandrovsk-Sakhalinskiy,RU,50.9,142.16,15.98,84,100,22.48
44,Husavik,CA,50.56,-96.99,-9.0,74,21,5.21
45,Vondrozo,MG,-22.82,47.32,70.43,92,100,6.78
46,Alta Floresta,BR,-9.87,-56.08,84.2,70,20,4.7
47,Esperance,AU,-33.86,121.89,66.2,82,90,9.17
48,New Norfolk,AU,-42.78,147.06,64.06,68,75,6.93
49,Kavieng,PG,-2.57,150.8,83.05,76,61,11.27
50,Dikson,RU,73.51,80.55,-0.42,96,86,4.25
51,Kaitangata,NZ,-46.28,169.85,54.0,72,88,15.01
52,Cape Town,ZA,-33.93,18.42,60.26,93,90,20.8
53,Khatanga,RU,71.98,102.47,-11.24,97,98,4.43
54,Butaritari,KI,3.07,172.79,81.73,75,100,4.83
55,Mar del Plata,AR,-46.43,-67.52,76.03,31,95,34.87
56,Vanavara,RU,60.35,102.28,-24.05,97,1,2.39
57,Busselton,AU,-33.64,115.35,64.08,34,81,10.42
58,Faanui,PF,-16.48,-151.75,81.48,78,63,19.73
59,Carnarvon,ZA,-30.97,22.13,62.94,37,0,15.12
60,Ouango,CD,4.31,22.55,70.36,49,8,2.48
61,Igrim,RU,63.19,64.42,8.29,94,100,6.2
62,Umea,SE,63.83,20.26,19.4,92,0,3.36
63,Sao Filipe,CV,14.9,-24.5,69.3,81,28,16.87
64,Duku,ID,-1.19,100.47,67.64,95,99,2.35
65,Margate,AU,-43.03,147.26,64.04,68,75,6.93
66,Souillac,FR,45.6,-0.6,48.4,93,100,3.36
67,Leningradskiy,RU,69.38,178.42,1.54,95,100,11.79
68,Pedernales,EC,0.07,-80.05,78.48,73,24,7.92
69,San Quintin,PH,17.54,120.52,65.89,72,0,4.47
70,Nouadhibou,MR,20.93,-17.03,64.4,68,99,13.87
71,Hay River,CA,60.82,-115.79,-7.6,76,90,10.29
72,Tiksi,RU,71.64,128.87,-24.77,93,94,5.06
73,Adrar,DZ,27.87,-0.29,53.6,29,0,6.93
74,Ambalavao,MG,-21.83,46.94,60.89,94,100,6.55
75,Mahajanga,MG,-15.72,46.32,80.6,88,40,2.24
76,Palmer,AU,-34.85,139.16,97.12,14,0,13.87
77,Kapaa,US,22.08,-159.32,80.58,65,40,19.46
78,Neiafu,TO,-18.65,-173.98,77.0,78,75,11.41
79,Nanortalik,GL,60.14,-45.24,33.96,60,100,20.96
80,Nikolskoye,RU,59.7,30.79,37.81,93,75,4.47
81,Lazaro Cardenas,MX,28.39,-105.62,46.4,39,5,13.87
82,Richards Bay,ZA,-28.77,32.06,73.02,77,0,27.4
83,Haines Junction,CA,60.75,-137.51,16.61,96,100,2.95
84,Kirksville,US,40.19,-92.58,25.5,92,90,11.41
85,Maceio,BR,-9.67,-35.74,77.0,83,20,8.05
86,Beidao,CN,34.57,105.89,26.11,82,76,2.08
87,Saba,HN,15.52,-86.23,76.48,77,79,4.68
88,Todos Santos,MX,23.45,-110.23,74.25,53,5,17.22
89,Byron Bay,AU,-28.65,153.62,72.52,57,40,10.29
90,Tasiilaq,GL,65.61,-37.64,19.4,57,39,3.36
91,Punta Arenas,CL,-53.16,-70.91,57.13,67,75,10.29
92,Timmins,CA,48.48,-81.33,17.6,100,90,3.36
93,Ambon,FR,47.55,-2.56,47.32,87,90,3.36
94,Ugoofaaru,MV,5.67,73.0,83.34,77,100,24.11
95,Tyrma,RU,50.04,132.17,-21.01,95,0,3.33
96,Bethel,US,60.79,-161.76,13.06,85,1,12.75
97,Namatanai,PG,-3.66,152.44,82.24,71,78,11.43
98,Torbay,CA,47.66,-52.73,28.11,63,75,28.86
99,Muros,ES,42.77,-9.06,50.27,81,90,14.99
100,Bluff,AU,-23.58,149.07,73.18,66,3,17.2
101,Thompson,CA,55.74,-97.86,-18.4,75,20,2.24
102,Khoni,GE,42.32,42.42,41.0,86,51,4.7
103,Saint George,GR,39.45,22.34,49.15,100,75,0.27
104,Hirara,JP,24.8,125.28,71.6,94,75,2.24
105,Bandarbeyla,SO,9.49,50.81,79.77,74,52,21.63
106,Pevek,RU,69.7,170.27,-2.61,95,100,1.32
107,Coahuayana,MX,18.62,-100.35,87.85,36,90,2.91
108,Longyearbyen,NO,78.22,15.63,1.4,70,20,10.29
109,Upernavik,GL,72.79,-56.15,12.27,50,100,7.49
110,Ulladulla,AU,-35.36,150.48,69.78,49,16,6.93
111,Bosaso,SO,11.28,49.18,78.91,77,21,14.56
112,Bredasdorp,ZA,-34.53,20.04,68.0,45,100,11.41
113,Nabire,ID,-3.36,135.5,69.03,94,89,2.53
114,Luderitz,NA,-26.65,15.16,64.4,72,24,2.24
115,Narsaq,GL,60.91,-46.05,39.2,27,0,25.28
116,Santana,BR,-0.06,-51.18,84.2,79,90,11.41
117,Ocampo,MX,27.32,-102.4,42.82,41,0,9.78
118,Castro,CL,-42.48,-73.76,57.2,100,90,14.99
119,Itarema,BR,-2.92,-39.92,80.76,71,96,9.26
120,Fortuna,US,40.6,-124.16,58.96,37,20,18.34
121,Harper,US,30.3,-99.24,48.85,23,1,14.99
122,Lompoc,US,34.64,-120.46,62.47,26,1,12.75
123,Bilma,NE,18.69,12.92,64.92,26,0,10.0
124,Hobart,AU,-42.88,147.33,64.04,68,75,6.93
125,Ponta do Sol,BR,-20.63,-46.0,75.29,74,61,6.73
126,Port Lincoln,AU,-34.72,135.86,82.38,27,0,4.94
127,Kimbe,PG,-5.56,150.15,75.24,83,18,2.82
128,Nikel,NO,69.41,30.21,24.8,92,90,11.41
129,Abalak,NE,15.46,6.28,69.13,19,0,12.86
130,Timizart,DZ,36.8,4.25,63.45,66,100,11.39
131,Bafq,IR,31.6,55.4,50.88,74,89,7.58
132,Kupang,ID,-10.16,123.6,77.0,100,20,1.12
133,Yar-Sale,RU,66.83,70.83,6.46,94,100,7.67
134,Rochegda,RU,62.67,43.41,28.72,96,100,3.13
135,Ahipara,NZ,-35.17,173.16,62.91,70,72,27.0
136,Half Moon Bay,US,37.46,-122.43,54.84,29,1,10.29
137,Ancud,CL,-41.87,-73.83,57.2,100,90,14.99
138,Waipawa,NZ,-39.94,176.59,51.01,94,100,8.99
139,Norsup,VU,-16.07,167.38,84.2,100,60,5.82
140,Codrington,AU,-28.95,153.24,74.62,53,92,10.29
141,Marawi,PH,8.0,124.29,70.0,88,39,7.0
142,Yulara,AU,-25.24,130.99,87.8,20,60,12.75
